placa,chasis,motor,marca,modelo,anio,id_asegurado,id_poliza
OUG-9037,TZ67K60RKVM1TL0B4,WKC63R2JZP,Renault,Duster,2018,A00322,POL00482
GGU-4128,N0630WP2K7G5W3DNP,YL14M5BP1M,Hyundai,Tucson,2016,A00323,POL00484
TBV-2070,FBADYFXZNKPWE0X57,YMVWGLKL3H,Chevrolet,Sail,2020,A00325,POL00486
SSC-8329,B8ZYF0EMJW2KHNXVF,Z8B3L0TN9U,Volkswagen,Gol,2020,A00327,POL00490
CZS-1174,BW1N711CU1Y0943YJ,ZTN8VUF5FX,Chevrolet,Sail,2020,A00329,POL00493
ZBA-1220,YEK6YGHDJNFMFFA4R,PDF1XN7N8M,Kia,Rio,2019,A00330,POL00495
UBU-2241,NMXRL2V39VP4TZSAT,VLEDE8ZD4F,Hyundai,Tucson,2022,A00331,POL00497
SHU-6227,5Z708W8XNRLCZ366X,2665KK13BJ,Kia,Rio,2024,A00332,POL00498
VZT-3830,KMPGB27KUYNB82LWU,RN8844L8DZ,Renault,Duster,2013,A00332,POL00499
UIV-3099,07EB503SPXRX7UYYN,JXRSS87BX9,Mazda,CX-5,2013,A00335,POL00503
UCI-1967,7SRAXZ7KUX8XNNHVD,N9VS14AWTP,Nissan,Versa,2014,A00336,POL00505
OVC-8318,1L5XGU6UN6VLJXBHD,X70KX1B4X2,Mazda,CX-5,2014,A00337,POL00506
PAU-3160,8EEJKGLSF0ZYF3YE8,2D32KFP5LH,Chevrolet,Sail,2024,A00337,POL00507
TZU-4694,7CCRRKJ9XX12B9V8B,3ECNCPR8AZ,Chevrolet,Sail,2023,A00338,POL00508
GCP-1120,VU091LNTYNXT2HV5B,592PMHC1GP,Renault,Duster,2015,A00338,POL00509
GPA-6077,APMYP81X62L87VSEG,ABDAUAW51L,Nissan,Versa,2013,A00339,POL00511
HJT-1366,WCHWKT6PHB7MAHFS6,UUB7EKPE21,Kia,Rio,2012,A00340,POL00512
TBV-5601,V7NUBUNS5AC48RDV0,F067L00KXZ,Chevrolet,Sail,2018,A00341,POL00513
OVP-3691,CY9KYLJP2F3H9CGAT,LRY8HX022R,Volkswagen,Gol,2021,A00344,POL00516
TTO-3551,NA9G8KEWS2WPGNBBB,VHPMEET5H4,Hyundai,Tucson,2017,A00344,POL00517
HJS-8838,C8C8XZBT71G4Z8B1C,8F7TFFSG61,Hyundai,Tucson,2023,A00345,POL00518
GSJ-2555,AJB95E9M6U1DTH8M5,VLCVY4HKEN,Volkswagen,Gol,2019,A00345,POL00519
AHC-4660,Y8R5HGLJJB5804B0G,37CU44EEFT,Renault,Duster,2022,A00346,POL00520
ACB-4060,N50T7EM3HCRNKWJ2A,0D9AHUAWJX,Kia,Rio,2015,A00346,POL00521
CTC-9353,KE79ELS30RT3D4CX2,BN025RJ793,Kia,Rio,2022,A00347,POL00523
SAJ-2086,FKC0U2U6YWXW7981J,7YF8YETUUV,Renault,Duster,2021,A00348,POL00524
GZI-9481,3UT4NJVN0XP6MHVSP,YM80S27U6Y,Nissan,Versa,2014,A00349,POL00525
GHA-8007,8G741XHJMH0DCEUGU,JG4PCDAHYU,Renault,Duster,2016,A00351,POL00528
PIZ-4872,KBXRL1PBLFU8HGS3R,S6LMRUGASW,Nissan,Versa,2018,A00351,POL00529
OCU-7299,1BUP84YXB8915P0KE,1L2PPXZ2US,Volkswagen,Gol,2023,A00352,POL00530
TSG-2059,5B1Z01B8454F4TZRU,0T7LLRNC10,Chevrolet,Sail,2012,A00352,POL00531
HBP-5180,5KVK4UMR3WLERFDMV,74LSBNEEGU,Chevrolet,Sail,2024,A00353,POL00532
ZSZ-7016,U6S6MHSLCE1JAV682,26Z2T3L98J,Hyundai,Tucson,2024,A00357,POL00536
SJJ-7159,W0BX8NBP4K5JW2SKB,R5T82660P6,Kia,Rio,2014,A00357,POL00537
BSH-6812,97C7EZYNW9LAGKUDB,9P0B52Y6ZX,Renault,Duster,2016,A00358,POL00539
JVP-1592,9EK1Y5UKKNF1U2RCC,WAJN3N3K4T,Volkswagen,Gol,2015,A00359,POL00540
VBG-8672,L8HF6Y07TYXKUSRB4,7UY9W82DWT,Volkswagen,Gol,2013,A00359,POL00541
JZJ-3523,37BY0HWS882P24SVS,LYLX1FGFFA,Renault,Duster,2014,A00362,POL00545
OCA-3186,V0ZFCLWYGCFCANL28,GUVEVJE6TL,Chevrolet,Sail,2022,A00363,POL00546
IPH-5811,23SWXPS6KKCFDHKG5,JKEVYXS743,Volkswagen,Gol,2013,A00364,POL00548
JCZ-9152,62X5JX4XMALT3F8YK,CJS98UNM3C,Nissan,Versa,2024,A00365,POL00551
TTZ-9273,U2N4C6V6CVYB3E736,RXR5TWCRT2,Mazda,CX-5,2016,A00367,POL00553
JAJ-1782,EU3B9WD8PVHS1YMNA,4FYS7BGJTL,Hyundai,Tucson,2022,A00367,POL00554
BVP-7593,PLN7ER861X0NCC5NA,ZB0Y3AX6FJ,Renault,Duster,2013,A00373,POL00564
HAZ-2746,DWJT1KUY3E0E8WW3B,BVXMFJG0HG,Renault,Duster,2016,A00375,POL00566
VUP-9946,WWG2CW3FYUDJEGAG7,C702GTLSFY,Kia,Rio,2014,A00376,POL00568
JAT-9568,UN8SD4P1NVZJ23VUS,H3T8AH2NTJ,Hyundai,Tucson,2021,A00378,POL00570
UAG-5095,CE2JPUHAPHA3GYP5K,KH0X31U5NK,Toyota,Hilux,2015,A00378,POL00571
JAH-1050,46LDD6VP3HVKVUM4A,7E6ZWR5NU7,Nissan,Versa,2018,A00379,POL00572
VGT-8961,1R9KHU0TGUW2BEGSV,TSM8AKBX3Y,Chevrolet,Sail,2012,A00379,POL00573
UVH-4268,2ZG17NSXCYZ7SY8R4,BEGJR3CP63,Nissan,Versa,2020,A00380,POL00574
HTS-8370,PFYSHFTSC7ULA8P3Y,GF9RUA4ZZ5,Kia,Rio,2020,A00381,POL00577
CZC-4837,CMNPNJV6D5RJCHP0W,4KEL71AL0C,Hyundai,Tucson,2020,A00382,POL00578
UPU-9697,Y5LP54M5UXTPBN2V1,6FHJDRH72J,Nissan,Versa,2012,A00384,POL00580
HHI-9993,JMC48PJRFK5E4FX6L,UYBCABBBFX,Kia,Rio,2014,A00386,POL00582
VPT-7087,DBKZX1H9VVTLFK7V8,EKMV9CX17C,Volkswagen,Gol,2020,A00387,POL00583
JIT-6594,F0UK21HS3KU9RX0D0,WL1CC7D3PS,Hyundai,Tucson,2018,A00388,POL00584
PPU-1081,TTM78SN1NE2USKEK2,VLW3WLBS3J,Kia,Rio,2017,A00390,POL00587
HTJ-3566,Z0VCM2R0YMVNBF71W,3UV99BRG0S,Renault,Duster,2020,A00391,POL00588
ZPH-6162,H2RKGFG66HDNSFN8P,J2XRC3CEF9,Hyundai,Tucson,2019,A00393,POL00592
BPC-9583,AS1Y78TVH3AP20ZJD,EWEHVGVRR2,Renault,Duster,2020,A00394,POL00595
CZU-3583,P9KES5UYY3EFTCVJ3,C0BYS8244C,Hyundai,Tucson,2020,A00395,POL00596
CTO-2190,XPGMPTYZD49M4G884,KPTVCHSWA5,Renault,Duster,2024,A00397,POL00599
JAG-4829,0HDG05BD90EVVMB5T,L231V6FVK0,Toyota,Hilux,2021,A00397,POL00600
CGB-4030,RVK42D3B7K2H63B5M,PWRRX0SJBV,Hyundai,Tucson,2012,A00398,POL00602
BTZ-3387,NXYHTNU2KSW9UCBL7,RAA9421EDH,Renault,Duster,2024,A00401,POL00607
ZZZ-1417,DE1DUFVEXD63MN53K,D0RUUB855V,Mazda,CX-5,2018,A00401,POL00608
SCI-1318,F871DLETB2TENNN6R,FJXZLNZ2G6,Toyota,Hilux,2020,A00402,POL00609
AJB-4585,4S9XJ68Z1HNP5EVWT,DLXDK2V9CG,Toyota,Hilux,2018,A00403,POL00610
JOP-2774,K689LMEALF8MGNT3L,Y85R4RSH9M,Kia,Rio,2020,A00404,POL00611
JPV-3400,A0A1KFLMRZXLF20AY,5GT2KEMEJX,Hyundai,Tucson,2021,A00406,POL00615
GJS-9877,VBLJCYCR4T9VJWY9E,FVZ596C5FZ,Nissan,Versa,2014,A00406,POL00616
UTT-8559,881K498KJXN8CXA2M,S0DUB011Y6,Kia,Rio,2021,A00408,POL00618
VUI-7136,UTM262NJZVMSJU2RN,GY2LTFXMY7,Toyota,Hilux,2014,A00409,POL00619
ZUG-6625,0GR9G200B8T1XBX8V,TRANWH9EH7,Hyundai,Tucson,2021,A00410,POL00620
HVA-2409,0P2WFXV6GXXNGPM0P,37GS45XCBU,Hyundai,Tucson,2014,A00410,POL00621
JSP-2999,7DJ7AU0JS9Z2LJY43,DX9355UWLJ,Volkswagen,Gol,2019,A00411,POL00622
VUJ-6444,BJACCKW0RRESJHXXE,PAXY7CP4MG,Kia,Rio,2016,A00413,POL00625
COZ-4638,455V3KAJ09L0VPEPM,GJNEJNKAWF,Volkswagen,Gol,2012,A00413,POL00626
PCV-8727,2F6MMZ76XT0U7J1KC,XKF961SG2D,Chevrolet,Sail,2020,A00414,POL00628
UJC-2651,4XEWSKSLX0SPXWU3H,868RL2VSBY,Hyundai,Tucson,2016,A00417,POL00632
VPO-2843,P8XJSJKBGJ02DNMCC,T86995ZP09,Volkswagen,Gol,2017,A00419,POL00635
AHH-4871,1FXH6EZLPFBKLZBFW,N7U9NDNA37,Hyundai,Tucson,2013,A00420,POL00636
CBZ-8542,36JDHFHH12GJMCHC5,JY5SNPCVN4,Hyundai,Tucson,2018,A00422,POL00638
CVV-5621,MGFVB2JYAXJKV1JBN,0Z1EAPZJ8B,Kia,Rio,2024,A00423,POL00639
IPI-9841,01WJPBTEKBK7D4H0L,7R8UDLD5F4,Renault,Duster,2018,A00423,POL00640
IIH-3598,ARVCSDHB028504WE0,5Z0V4MST7G,Kia,Rio,2014,A00424,POL00641
VVP-3009,CPB3RG52UF8L4CAG0,5GKBGYD6FN,Kia,Rio,2020,A00425,POL00642
IBA-5714,0U8WN2MHNBB4MZZ54,4T8BPHAYNN,Hyundai,Tucson,2021,A00425,POL00643
ZCB-6787,ESJ7BCDU234GWYBEH,D586HTCBTS,Renault,Duster,2020,A00426,POL00644
VSH-9141,28REN65H31VG31GKP,8VD87USRMX,Chevrolet,Sail,2018,A00427,POL00647
SSB-8308,AETL4JBP6D96LGF3D,LBTGFS0995,Nissan,Versa,2014,A00428,POL00648
TPA-2156,2TWJLH5Z9R5905AMD,BTC37X7FMN,Nissan,Versa,2018,A00429,POL00649
POT-5430,L49K627DUCZRHTF4H,Z4C8SM8VRY,Toyota,Hilux,2023,A00430,POL00650
HTA-7908,V11ST4BU59WKE5AKY,G1KLZS3UJA,Toyota,Hilux,2020,A00431,POL00651
ASZ-2038,FWEPHSZLP3GRP73AY,MSCTX9G2YB,Renault,Duster,2014,A00433,POL00654
SBJ-6208,CNVUB32E77EJTCA26,KGUF5U3GRX,Kia,Rio,2021,A00433,POL00655
ISH-6137,DHHJMD70S1CZHE7F4,DR2P3XS3JG,Mazda,CX-5,2020,A00436,POL00659
VCH-9689,TMDV11U4483DX4TLA,WX4085YB5W,Nissan,Versa,2024,A00437,POL00661
JCG-7054,T21JM3YVDG2YZRDA4,LMHMKVM547,Chevrolet,Sail,2023,A00437,POL00662
BBC-5602,GF09T1DAAG7278JNF,MZ5AU5J3TL,Chevrolet,Sail,2022,A00438,POL00663
GJI-7322,D6ZL0T9MWJHR9XT0U,DC4TW0V6YK,Mazda,CX-5,2015,A00439,POL00665
VPS-9048,F552PSVL8LBN1LE7Z,ADE1SCTYNC,Nissan,Versa,2018,A00440,POL00666
IZG-6006,ACG9E2579V9E4ZMUT,T0TT4DP0E7,Hyundai,Tucson,2021,A00441,POL00667
TSB-3409,699T149KDWX7J7GU5,JT1RCF1TMU,Hyundai,Tucson,2014,A00442,POL00668
AJZ-3574,PM9DPLKHCHAMRMABE,1641HCB971,Volkswagen,Gol,2013,A00444,POL00670
TBS-9361,D7U3JNXW3XGCANB62,MA0UY15EYB,Hyundai,Tucson,2023,A00446,POL00672
BAT-7438,0WFFRVA5XG2U7CA0N,43NVK12L16,Kia,Rio,2024,A00446,POL00673
IAI-8024,M06E61BSJBFJ4Z6M1,AWFA0JE60Y,Kia,Rio,2020,A00448,POL00675
JHC-3665,K7Y9E5DT0UJGZV08C,X49JAKJ08A,Toyota,Hilux,2023,A00450,POL00679
ZZO-3910,9LXUADF8MLT5SFJ3E,10A7EDZDFH,Nissan,Versa,2021,A00452,POL00681
ZTB-6160,M4FC0R5DJNCC6E4XA,A7TF9WXVRK,Kia,Rio,2024,A00452,POL00682
CSH-5571,7H3F9K7NWFPECTYCK,Z2RME6VP05,Mazda,CX-5,2016,A00453,POL00683
UHH-9879,9NWMXR1W2JDYYD55U,D205YZF02L,Hyundai,Tucson,2015,A00454,POL00686
GBB-2640,691GBKYV51DMLB20R,XUFMAFJM5X,Kia,Rio,2024,A00456,POL00688
BIG-3999,ZT5YC5VC8G5NJ6DZ0,BREDA2VPWA,Mazda,CX-5,2015,A00457,POL00690
APS-5656,EEWGRYMZZS0YKC01E,CD38AB24DE,Renault,Duster,2020,A00458,POL00691
IAG-3632,ZAE8P1XTJ2MVG6TMD,MKRRWYGEAC,Mazda,CX-5,2021,A00461,POL00695
GVC-1106,VY6Y5XMFL4WL2CRS3,MAK60ZMET6,Volkswagen,Gol,2019,A00464,POL00698
CGJ-3756,GLEZH8A0G4GH94P0Y,FX67LG1CDY,Chevrolet,Sail,2015,A00465,POL00700
BJI-4215,AJAJCPDUKRJJ58ZJG,S0NCJ9F3YD,Kia,Rio,2018,A00471,POL00708
UVS-4781,566Z2GRJEBLF3E7W1,CLPHBTSUE1,Mazda,CX-5,2018,A00471,POL00709
APA-7011,20326C1R2KF9200DW,VTWC542NWN,Volkswagen,Gol,2023,A00472,POL00710
JZB-2449,VKTP3JYXUKG99C8G3,KSWF1TRNYS,Toyota,Hilux,2014,A00474,POL00712
BUZ-6993,82B0U061U8Y62UYN0,S407U2191E,Kia,Rio,2018,A00475,POL00715
PBZ-6598,M2KX012W5MHSA6UJS,0HUM1HVDTN,Nissan,Versa,2015,A00477,POL00717
ICG-6943,UM496TU8DH8NLB3YK,R565J42X3N,Nissan,Versa,2015,A00480,POL00723
ZCZ-8197,EB0XCCBK7MJEWMX6N,H4BWRHP2F8,Mazda,CX-5,2014,A00481,POL00724
STC-8940,SZJ0ZPSKLK5RNMAV0,7RZRJR44F9,Chevrolet,Sail,2017,A00482,POL00726
ZZG-7244,CGA8HK2GZRMF84TT2,7NX5TJKPPK,Toyota,Hilux,2014,A00483,POL00728
UZT-4016,MZ2D1MYP0D1S7SEHD,U28UGSA8XR,Toyota,Hilux,2020,A00484,POL00730
JHA-2496,1PX58ZMD7AJBTL4LA,E8GJFKWENS,Mazda,CX-5,2024,A00488,POL00737
BVS-4037,J51B6Y73ZSPWNHF1Y,WNB9YMRHKC,Hyundai,Tucson,2014,A00490,POL00740
VJH-5633,6V7ADAJ362WW482W5,5WF3N1Z4CT,Volkswagen,Gol,2017,A00490,POL00741
GAS-7326,U4M65FHZJ1RXPD06A,M0ZHLL63P4,Volkswagen,Gol,2016,A00491,POL00742
HUH-2195,WH2SSTU5VRU3TBLKR,DY93J7PUGS,Hyundai,Tucson,2014,A00493,POL00745
OVS-3161,JCSACWU4W1EKRDBKZ,GJHP6Y2Z2N,Mazda,CX-5,2017,A00496,POL00748
JJG-2386,ER0DPVMN3LJCSNW6V,MT3PGBWR53,Mazda,CX-5,2020,A00497,POL00751
HBO-5317,NCWPXDKR0DLLU42YM,5YLNNJKRAJ,Volkswagen,Gol,2012,A00499,POL00754
AGG-5155,365EH460A54K7ZXSD,MU0PDFMRT8,Hyundai,Tucson,2014,A00500,POL00755
CPH-8511,EBF6LLJVD0D53T6G7,8XT3GMTD10,Chevrolet,Sail,2022,A00501,POL00756
VSV-6623,12VT9KS8SN5EMGJFF,DH69CSZ3DE,Chevrolet,Sail,2019,A00503,POL00758
SIU-2792,8GMMK81TSR6MLB0VK,KH1M1XT1NN,Toyota,Hilux,2023,A00505,POL00760
PSS-6416,AU6BLA019ZEXN58TM,24PLX3RUM5,Volkswagen,Gol,2019,A00507,POL00762
AJB-7543,ZFKJB0LKVHEX3PCKX,X2R4S6K3MV,Toyota,Hilux,2022,A00507,POL00763
TTP-6564,GNPGRCCURLEFMKGME,0V9H0K4382,Chevrolet,Sail,2016,A00508,POL00764
JHH-3188,AC1M9857SXX12V2WH,4JPVMHK4KM,Chevrolet,Sail,2013,A00509,POL00765
SHP-4554,HV89HF75K3UGL9NHB,DR443BLADA,Toyota,Hilux,2017,A00510,POL00766
PUC-7847,LDD524L64SRMP91PP,73F9YH2M26,Mazda,CX-5,2013,A00513,POL00769
CTP-3569,NRKG9RZM6E7XB2781,GC40LAGUSE,Hyundai,Tucson,2021,A00514,POL00770
ISJ-9736,SWZ8MBK21021LZGJX,5PW9LYXRU4,Kia,Rio,2022,A00515,POL00771
JSH-2031,528BA6W8TZV2UE9N9,WH36SV6YP2,Renault,Duster,2023,A00517,POL00773
AIC-2937,CL2J6C22VDBMUTZGR,ANCY7WS7TG,Renault,Duster,2020,A00519,POL00775
AAA-4487,CZ12GZPBZ1VGTN5V4,5D97BH7L3C,Mazda,CX-5,2012,A00519,POL00776
SSA-7445,7UY420LWC1KJHXZ47,JX4MMMHAYS,Toyota,Hilux,2015,A00521,POL00778
HPH-6335,0R4XLGRRXA8FJVYZP,GLDAS2JMFE,Renault,Duster,2023,A00522,POL00779
PIU-6263,XLMWLZJXG2H9X80F5,EDYDD0WFT5,Mazda,CX-5,2019,A00523,POL00781
VCH-8182,VH6HZW6NTVPCYR89B,RNHP3FENSM,Mazda,CX-5,2018,A00523,POL00782
HZP-8123,MXEXMH5W3XPXR79DG,9GZ47NVU18,Chevrolet,Sail,2013,A00525,POL00784
HGG-7488,JT14TYDBCHDY7RBRY,LGF3VVLV1U,Kia,Rio,2023,A00526,POL00785
UPS-2212,JWN5F6AYWTYGUP48L,2GFMPBP9Y4,Volkswagen,Gol,2020,A00528,POL00790
ZBO-8667,D0XK44PR0FX9B6AXN,J2BHHSFASJ,Toyota,Hilux,2021,A00530,POL00792
ASA-9701,XG9HCVXDJWP6P2EY8,P12J5FPZ92,Renault,Duster,2021,A00531,POL00793
TIP-6271,4F0V5SFY11S8MZZHG,1VS2CJ9S78,Chevrolet,Sail,2014,A00531,POL00794
AIG-5833,MF1TTE3ECG6XPYW3T,C0HCNAJ8PA,Renault,Duster,2016,A00532,POL00795
HTH-5433,6HRXPB3C382TAMM9U,96UXZHSY6J,Kia,Rio,2019,A00532,POL00796
VBV-7287,UCNWP9E98P75Z9RRP,2V75ATGRAA,Kia,Rio,2021,A00533,POL00797
AHB-3791,RFCZ56JAUUEBD8UGP,LU0SED7WGK,Toyota,Hilux,2014,A00535,POL00799
GCC-7114,F8WKMVATPM3GGDCNW,14G1PD7AK2,Renault,Duster,2019,A00536,POL00801
JVJ-3220,E0N3BAY67XBDG8SJY,AB6P6FNC5L,Hyundai,Tucson,2014,A00537,POL00802
BTJ-9120,KMHBTXU3H8HLE7A6T,WS3DKRWVJM,Volkswagen,Gol,2017,A00538,POL00803
SHV-2348,KBUW57M1BPM3ZXGRJ,73F6WBJUZZ,Hyundai,Tucson,2021,A00539,POL00804
IPS-2489,L42V3T7493JP61DA9,UW6TB9R5FH,Kia,Rio,2021,A00540,POL00805
JHA-1824,2N2JNXRUU94U5C9LH,R3XU4MKALE,Kia,Rio,2014,A00540,POL00806
AAA-9987,1SV26SHAAFHTH2ABF,1KSJ8N66C1,Chevrolet,Sail,2012,A00542,POL00808
GAA-1377,9URS4HGS5FGFXF0TY,9KWKBNTAE0,Renault,Duster,2015,A00543,POL00809
IJS-5102,VU245KDGDJUBJF9KJ,R95VAK2KCZ,Volkswagen,Gol,2020,A00543,POL00810
VIT-4156,3WLRZ6BAVFLGJYGH3,EMXZBV2HCD,Hyundai,Tucson,2019,A00544,POL00811
CPG-9558,K6FBFMNJ4EZFJBT0A,844XRTW1CW,Kia,Rio,2022,A00545,POL00812
OZC-5251,SZ3F83LLXGJ6M25A9,231Z2KJUE5,Nissan,Versa,2018,A00547,POL00815
HCC-4855,XUPWDW31KHKFY4TZL,ZTMB2UVFHG,Volkswagen,Gol,2022,A00549,POL00818
ITS-5710,99MEU3B22TBZGGCMF,L0WNUFMSBH,Hyundai,Tucson,2023,A00550,POL00820
ZGO-3331,G91DDNLDNG5DFFUCA,PW7HSG8G63,Chevrolet,Sail,2012,A00551,POL00821
ZIA-2973,EP5YRYLHB7L5A7J6D,R6H3G4B9H7,Mazda,CX-5,2014,A00552,POL00824
ZGA-8330,3GAMVA0Z69CALTVNJ,P2MLH2C11Z,Mazda,CX-5,2019,A00554,POL00826
BJS-2939,S0KFXDH3WK1EA7APN,0CTLVPHRJV,Mazda,CX-5,2020,A00554,POL00827
UIV-7359,V2SRYRWFFAXBHU83T,K894HX7SYX,Volkswagen,Gol,2023,A00556,POL00830
CGS-7096,89GY0TK1C6LR1BKVV,40U466KCZE,Kia,Rio,2019,A00557,POL00831
IJV-5318,7R7DPG8XWRBM5VEW9,X6M1DLMYT2,Kia,Rio,2022,A00558,POL00832
ZZU-4383,YP273JZJP497D3BT2,RMDY0STAZB,Kia,Rio,2022,A00560,POL00835
JHV-1144,XNX35D7968YZTL4EB,STKM7P2J6P,Volkswagen,Gol,2014,A00561,POL00836
ICB-7960,APMMBM3AGUM2U8ED4,BE56BPF2N5,Chevrolet,Sail,2024,A00565,POL00841
SGZ-2853,5LU54SARC2XTDLZXG,RRJ6L8MFLH,Renault,Duster,2018,A00567,POL00843
ACZ-8052,352YL6LWZP8T0B5A9,4WA3803BLC,Renault,Duster,2020,A00568,POL00844
SAH-5244,CRMLZNSPMALSZECK0,YZDHRYVYCR,Hyundai,Tucson,2018,A00570,POL00846
SJC-1118,BZRHJUUFLD5Y2XJDH,KS82NE76W0,Toyota,Hilux,2016,A00571,POL00848
SGO-6601,GJM25ERG70R2J4U7X,K92T1GKB4H,Kia,Rio,2019,A00572,POL00849
IZC-5431,DNLGEZRYZAXGUPJGG,WSD586JT6J,Nissan,Versa,2017,A00573,POL00850
GGV-3787,4ZGZDLY6V4UDY9ZNL,X47J2MB9U2,Hyundai,Tucson,2019,A00576,POL00854
UIB-7419,LLMMZAGMZ2LW5M3NT,MAFLLSUFVM,Mazda,CX-5,2021,A00576,POL00855
GCB-8818,VCBREDFRS0NMJLW6F,FR1AC3BK68,Renault,Duster,2022,A00579,POL00858
OJZ-3126,2VPZAAXR6MNU4F54K,RHPN3HATVF,Chevrolet,Sail,2018,A00580,POL00859
ZHB-4221,6M671073C4PTVMCU4,E7XYG95BF8,Nissan,Versa,2021,A00581,POL00860
OSV-1176,LZV0R1J3CU6MN4UEA,AYR9YX7UMF,Nissan,Versa,2018,A00583,POL00864
OPB-5290,4DW83GVR69TUP6D21,F5Z3T36J1R,Hyundai,Tucson,2018,A00584,POL00865
VPH-6480,C61BVS034CYCRS5U4,9SPB275PB2,Chevrolet,Sail,2019,A00585,POL00868
OVG-7794,PWL9972BXXBWJJH6D,T4E25B32PM,Renault,Duster,2012,A00588,POL00872
TSZ-9790,L8HK3XPR6F6A4WTL2,VLBPSFSXWB,Kia,Rio,2013,A00589,POL00874
JSC-2040,Y5NA0TLUR9USDKE6H,379A11URHY,Chevrolet,Sail,2022,A00589,POL00875
ZTP-2526,YAN5CH7DK3WC5DPB9,CE6L2KL3MV,Toyota,Hilux,2016,A00590,POL00876
TTO-5515,FE3A4H1HL722JACJB,SH6DM3NTUU,Toyota,Hilux,2015,A00591,POL00878
BCA-5837,KWL0P3BFKR60SAMU5,2DS15AJVS1,Chevrolet,Sail,2017,A00592,POL00880
HUJ-7735,KNJR4C1263VEJ0W8M,JDTM1ML3JA,Mazda,CX-5,2018,A00596,POL00885
IJS-3528,SPX729685M04AWHST,MDTSGXNNFK,Hyundai,Tucson,2014,A00597,POL00886
ATT-8641,2KEWRCVEPWHBP8XK7,JC4X1WLJVA,Nissan,Versa,2017,A00597,POL00887
SOJ-8014,GT2JC02JAF70SA533,G4Y7KVAWSW,Chevrolet,Sail,2019,A00598,POL00888
OTS-6173,2GAD888NLE8ZDR3FM,CKYEN7NP6C,Hyundai,Tucson,2015,A00599,POL00889
ZOH-1001,U84B53JRXEA73XEE7,CZF7SLZFUZ,Nissan,Versa,2018,A00599,POL00890
